14593,20000103,111.93750
14593,20000104,102.50000
14593,20000105,104.00000
14593,20000106,95.00000
14593,20000107,99.50000
14593,20000110,97.75000
14593,20000111,92.75000
14593,20000112,87.18750
14593,20000113,96.75000
14593,20000114,100.43750
14593,20000118,103.93750
14593,20000119,106.56250
14593,20000120,113.50000
14593,20000121,111.31250
14593,20000124,106.25000
14593,20000125,112.25000
14593,20000126,110.18750
14593,20000127,110.00000
14593,20000128,101.62500
14593,20000131,103.75000
14593,20000201,100.25000
14593,20000202,98.81250
14593,20000203,103.31250
14593,20000204,108.00000
14593,20000207,114.06250
14593,20000208,114.87500
14593,20000209,112.62500
14593,20000210,113.50000
14593,20000211,108.75000
14593,20000214,115.81250
14593,20000215,119.00000
14593,20000216,114.12500
14593,20000217,114.87500
14593,20000218,111.25000
14593,20000222,113.81250
14593,20000223,116.25000
14593,20000224,115.20313
14593,20000225,110.37500
14593,20000228,113.25000
14593,20000229,114.62500
14593,20000301,130.31250
14593,20000302,122.00000
14593,20000303,128.00000
14593,20000306,125.68750
14593,20000307,122.87500
14593,20000308,122.00000
14593,20000309,122.25000
14593,20000310,125.75000
14593,20000313,121.31250
14593,20000314,114.25000
14593,20000315,116.25000
14593,20000316,121.56250
14593,20000317,125.00000
14593,20000320,123.00000
14593,20000321,134.93750
14593,20000322,144.18750
14593,20000323,141.31250
14593,20000324,138.68750
14593,20000327,139.56250
14593,20000328,139.12500
14593,20000329,135.93750
14593,20000330,125.75000
14593,20000331,135.81250
14593,20000403,133.31250
14593,20000404,127.31250
14593,20000405,130.37500
14593,20000406,125.18750
14593,20000407,131.75000
14593,20000410,125.00000
14593,20000411,119.43750
14593,20000412,109.25000
14593,20000413,113.81250
14593,20000414,111.87500
14593,20000417,123.87500
14593,20000418,126.87500
14593,20000419,121.12500
14593,20000420,118.87500
14593,20000424,120.50000
14593,20000425,128.31250
14593,20000426,121.31250
14593,20000427,126.75000
14593,20000428,124.06250
14593,20000501,124.31250
14593,20000502,117.87500
14593,20000503,115.06250
14593,20000504,110.68750
14593,20000505,113.12500
14593,20000508,110.12500
14593,20000509,105.43750
14593,20000510,99.31250
14593,20000511,102.81250
14593,20000512,107.62500
14593,20000515,101.00000
14593,20000516,105.68750
14593,20000517,101.37500
14593,20000518,100.75000
14593,20000519,94.00000
14593,20000522,89.93750
14593,20000523,85.81250
14593,20000524,87.68750
14593,20000525,87.26563
14593,20000526,86.37500
14593,20000530,87.56250
14593,20000531,84.00000
14593,20000601,89.12500
14593,20000602,92.56250
